ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.History15AdminRequest	history15adminrequest	1590485824931	 	3.3.1
REQUEST	8		jquery-ui.min.js	1590485827730	1590485827739	OK	 
REQUEST	21		favicon.png	1590485827684	1590485827740	OK	 
REQUEST	8		jquery.min.js	1590485827728	1590485827742	OK	 
REQUEST	8		bootstrap.min.js	1590485827739	1590485827746	OK	 
REQUEST	21		pets.png	1590485827688	1590485827747	OK	 
REQUEST	21		petclinic.css	1590485827684	1590485827750	OK	 
REQUEST	8		favicon.png	1590485827706	1590485827752	OK	 
REQUEST	8		pets.png	1590485827710	1590485827753	OK	 
REQUEST	8		spring-pivotal-logo.png	1590485827711	1590485827756	OK	 
REQUEST	8		petclinic.css	1590485827707	1590485827757	OK	 
USER	Reject	22	START	1590485827835	1590485827835
REQUEST	22		Home	1590485827836	1590485827839	OK	 
USER	Accept	9	START	1590485827847	1590485827847
REQUEST	22		favicon.png	1590485827844	1590485827850	OK	 
REQUEST	9		Home	1590485827848	1590485827853	OK	 
REQUEST	22		jquery-ui.theme.min.css	1590485827846	1590485827864	OK	 
REQUEST	22		jquery.min.js	1590485827851	1590485827870	OK	 
REQUEST	22		jquery-ui.min.css	1590485827845	1590485827879	OK	 
REQUEST	9		favicon.png	1590485827858	1590485827881	OK	 
REQUEST	22		bootstrap.min.js	1590485827870	1590485827883	OK	 
REQUEST	9		jquery-ui.min.css	1590485827861	1590485827883	OK	 
REQUEST	22		spring-pivotal-logo.png	1590485827847	1590485827885	OK	 
REQUEST	9		spring-pivotal-logo.png	1590485827864	1590485827886	OK	 
REQUEST	9		jquery.min.js	1590485827882	1590485827889	OK	 
REQUEST	9		bootstrap.min.js	1590485827886	1590485827894	OK	 
REQUEST	9		jquery-ui.min.js	1590485827884	1590485827896	OK	 
REQUEST	9		jquery-ui.theme.min.css	1590485827862	1590485827897	OK	 
REQUEST	9		petclinic.css	1590485827859	1590485827899	OK	 
REQUEST	9		pets.png	1590485827863	1590485827901	OK	 
REQUEST	22		pets.png	1590485827847	1590485827907	OK	 
REQUEST	22		petclinic.css	1590485827844	1590485827911	OK	 
