ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.Historia22Test	historia22test	1590522786541	 	3.3.1
REQUEST	82		Home	1590522793674	1590522793680	OK	 
REQUEST	76		Home	1590522793674	1590522793680	OK	 
USER	DiagnosisNotCreatedScn	90	START	1590522793818	1590522793818
USER	DiagnosisCreatedScn	83	START	1590522793818	1590522793818
REQUEST	90		Home	1590522793819	1590522793821	OK	 
REQUEST	83		Home	1590522793819	1590522793821	OK	 
USER	DiagnosisCreatedScn	84	START	1590522793970	1590522793970
USER	DiagnosisNotCreatedScn	91	START	1590522793970	1590522793970
REQUEST	84		Home	1590522793971	1590522793976	OK	 
REQUEST	91		Home	1590522793972	1590522793976	OK	 
USER	DiagnosisNotCreatedScn	92	START	1590522794110	1590522794110
USER	DiagnosisCreatedScn	85	START	1590522794110	1590522794110
REQUEST	92		Home	1590522794112	1590522794120	OK	 
REQUEST	85		Home	1590522794112	1590522794120	OK	 
USER	DiagnosisNotCreatedScn	93	START	1590522794251	1590522794251
USER	DiagnosisCreatedScn	86	START	1590522794251	1590522794251
REQUEST	93		Home	1590522794253	1590522794260	OK	 
REQUEST	86		Home	1590522794253	1590522794259	OK	 
USER	DiagnosisNotCreatedScn	94	START	1590522794401	1590522794401
USER	DiagnosisCreatedScn	87	START	1590522794401	1590522794401
REQUEST	87		Home	1590522794402	1590522794404	OK	 
REQUEST	94		Home	1590522794402	1590522794404	OK	 
USER	DiagnosisNotCreatedScn	95	START	1590522794542	1590522794542
USER	DiagnosisCreatedScn	88	START	1590522794542	1590522794542
REQUEST	88		Home	1590522794542	1590522794544	OK	 
REQUEST	95		Home	1590522794542	1590522794544	OK	 
USER	DiagnosisNotCreatedScn	96	START	1590522794683	1590522794683
USER	DiagnosisCreatedScn	89	START	1590522794683	1590522794683
REQUEST	96		Home	1590522794685	1590522794691	OK	 
REQUEST	89		Home	1590522794685	1590522794691	OK	 
USER	DiagnosisCreatedScn	97	START	1590522794824	1590522794824
USER	DiagnosisNotCreatedScn	104	START	1590522794824	1590522794824
REQUEST	16		Login	1590522794770	1590522794773	OK	 
REQUEST	1		Login	1590522794770	1590522794773	OK	 
REQUEST	104		Home	1590522794824	1590522794827	OK	 
REQUEST	97		Home	1590522794824	1590522794829	OK	 
REQUEST	17		Login	1590522794871	1590522794872	OK	 
REQUEST	2		Login	1590522794892	1590522794893	OK	 
USER	DiagnosisNotCreatedScn	105	START	1590522794968	1590522794968
USER	DiagnosisCreatedScn	98	START	1590522794968	1590522794968
REQUEST	105		Home	1590522794970	1590522794973	OK	 
REQUEST	98		Home	1590522794970	1590522794973	OK	 
REQUEST	18		Login	1590522794989	1590522794990	OK	 
REQUEST	3		Login	1590522795010	1590522795011	OK	 
USER	DiagnosisNotCreatedScn	106	START	1590522795108	1590522795108
USER	DiagnosisCreatedScn	99	START	1590522795108	1590522795108
REQUEST	106		Home	1590522795110	1590522795116	OK	 
REQUEST	99		Home	1590522795110	1590522795116	OK	 
REQUEST	19		Login	1590522795141	1590522795143	OK	 
REQUEST	4		Login	1590522795152	1590522795155	OK	 
USER	DiagnosisCreatedScn	100	START	1590522795250	1590522795250
USER	DiagnosisNotCreatedScn	107	START	1590522795251	1590522795251
REQUEST	107		Home	1590522795251	1590522795253	OK	 
REQUEST	100		Home	1590522795251	1590522795253	OK	 
REQUEST	20		Login	1590522795293	1590522795294	OK	 
REQUEST	5		Login	1590522795293	1590522795294	OK	 
USER	DiagnosisCreatedScn	101	START	1590522795402	1590522795402
USER	DiagnosisNotCreatedScn	108	START	1590522795402	1590522795402
REQUEST	108		Home	1590522795403	1590522795405	OK	 
REQUEST	101		Home	1590522795403	1590522795405	OK	 
REQUEST	21		Login	1590522795424	1590522795425	OK	 
REQUEST	6		Login	1590522795438	1590522795439	OK	 
USER	DiagnosisCreatedScn	102	START	1590522795543	1590522795543
USER	DiagnosisNotCreatedScn	109	START	1590522795543	1590522795543
REQUEST	109		Home	1590522795543	1590522795545	OK	 
REQUEST	102		Home	1590522795543	1590522795545	OK	 
REQUEST	22		Login	1590522795579	1590522795580	OK	 
REQUEST	7		Login	1590522795590	1590522795590	OK	 
USER	DiagnosisNotCreatedScn	110	START	1590522795678	1590522795678
USER	DiagnosisCreatedScn	103	START	1590522795678	1590522795678
REQUEST	110		Home	1590522795680	1590522795687	OK	 
REQUEST	103		Home	1590522795680	1590522795687	OK	 
REQUEST	23		Login	1590522795710	1590522795711	OK	 
REQUEST	8		Login	1590522795720	1590522795722	OK	 
USER	DiagnosisCreatedScn	111	START	1590522795850	1590522795850
USER	DiagnosisNotCreatedScn	117	START	1590522795850	1590522795850
REQUEST	24		Login	1590522795851	1590522795852	OK	 
REQUEST	111		Home	1590522795851	1590522795858	OK	 
REQUEST	117		Home	1590522795851	1590522795858	OK	 
REQUEST	9		Login	1590522795861	1590522795862	OK	 
REQUEST	25		Login	1590522795993	1590522795996	OK	 
REQUEST	10		Login	1590522796004	1590522796007	OK	 
USER	DiagnosisCreatedScn	112	START	1590522796023	1590522796023
USER	DiagnosisNotCreatedScn	118	START	1590522796023	1590522796023
REQUEST	112		Home	1590522796024	1590522796027	OK	 
REQUEST	118		Home	1590522796024	1590522796027	OK	 
REQUEST	26		Login	1590522796142	1590522796145	OK	 
REQUEST	11		Login	1590522796142	1590522796145	OK	 
USER	DiagnosisNotCreatedScn	119	START	1590522796193	1590522796193
USER	DiagnosisCreatedScn	113	START	1590522796193	1590522796193
REQUEST	113		Home	1590522796195	1590522796203	OK	 
REQUEST	119		Home	1590522796195	1590522796203	OK	 
REQUEST	12		Login	1590522796278	1590522796279	OK	 
REQUEST	27		Login	1590522796278	1590522796279	OK	 
USER	DiagnosisCreatedScn	114	START	1590522796353	1590522796353
USER	DiagnosisNotCreatedScn	120	START	1590522796353	1590522796353
REQUEST	114		Home	1590522796354	1590522796356	OK	 
REQUEST	120		Home	1590522796354	1590522796356	OK	 
REQUEST	28		Login	1590522796423	1590522796424	OK	 
REQUEST	13		Login	1590522796433	1590522796434	OK	 
USER	DiagnosisNotCreatedScn	121	START	1590522796521	1590522796521
USER	DiagnosisCreatedScn	115	START	1590522796521	1590522796521
REQUEST	121		Home	1590522796522	1590522796529	OK	 
REQUEST	115		Home	1590522796523	1590522796529	OK	 
REQUEST	29		Login	1590522796568	1590522796569	OK	 
