ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.Historia21Test	historia21test	1590516206730	 	3.3.1
REQUEST	36		Home	1590516209253	1590516209255	OK	 
USER	VetNotCreatedScn	88	START	1590516209273	1590516209273
REQUEST	88		Home	1590516209274	1590516209276	OK	 
USER	VetCreatedScn	37	START	1590516209295	1590516209295
REQUEST	37		Home	1590516209295	1590516209297	OK	 
USER	VetNotCreatedScn	89	START	1590516209310	1590516209310
REQUEST	89		Home	1590516209311	1590516209313	OK	 
USER	VetCreatedScn	38	START	1590516209331	1590516209331
REQUEST	38		Home	1590516209332	1590516209333	OK	 
USER	VetNotCreatedScn	90	START	1590516209353	1590516209353
REQUEST	90		Home	1590516209353	1590516209355	OK	 
USER	VetCreatedScn	39	START	1590516209374	1590516209374
REQUEST	39		Home	1590516209374	1590516209377	OK	 
USER	VetNotCreatedScn	91	START	1590516209395	1590516209395
REQUEST	91		Home	1590516209396	1590516209398	OK	 
USER	VetCreatedScn	40	START	1590516209410	1590516209410
REQUEST	40		Home	1590516209411	1590516209413	OK	 
USER	VetNotCreatedScn	92	START	1590516209431	1590516209431
REQUEST	92		Home	1590516209432	1590516209434	OK	 
USER	VetCreatedScn	41	START	1590516209452	1590516209452
REQUEST	41		Home	1590516209453	1590516209455	OK	 
USER	VetNotCreatedScn	93	START	1590516209473	1590516209473
REQUEST	93		Home	1590516209474	1590516209479	OK	 
USER	VetCreatedScn	42	START	1590516209495	1590516209495
REQUEST	42		Home	1590516209496	1590516209501	OK	 
USER	VetNotCreatedScn	94	START	1590516209515	1590516209515
REQUEST	94		Home	1590516209516	1590516209520	OK	 
USER	VetCreatedScn	43	START	1590516209530	1590516209530
REQUEST	43		Home	1590516209531	1590516209534	OK	 
USER	VetNotCreatedScn	95	START	1590516209551	1590516209551
REQUEST	95		Home	1590516209551	1590516209554	OK	 
USER	VetCreatedScn	44	START	1590516209571	1590516209571
REQUEST	44		Home	1590516209572	1590516209574	OK	 
USER	VetNotCreatedScn	96	START	1590516209593	1590516209593
REQUEST	96		Home	1590516209593	1590516209596	OK	 
USER	VetCreatedScn	45	START	1590516209613	1590516209613
REQUEST	45		Home	1590516209614	1590516209616	OK	 
USER	VetNotCreatedScn	97	START	1590516209633	1590516209633
REQUEST	97		Home	1590516209634	1590516209637	OK	 
USER	VetCreatedScn	46	START	1590516209655	1590516209655
REQUEST	46		Home	1590516209655	1590516209658	OK	 
USER	VetNotCreatedScn	98	START	1590516209670	1590516209670
REQUEST	98		Home	1590516209671	1590516209673	OK	 
USER	VetCreatedScn	47	START	1590516209690	1590516209690
REQUEST	47		Home	1590516209691	1590516209694	OK	 
USER	VetNotCreatedScn	99	START	1590516209711	1590516209711
REQUEST	99		Home	1590516209711	1590516209714	OK	 
USER	VetCreatedScn	48	START	1590516209732	1590516209732
REQUEST	48		Home	1590516209732	1590516209735	OK	 
USER	VetNotCreatedScn	100	START	1590516209764	1590516209764
REQUEST	100		Home	1590516209764	1590516209767	OK	 
USER	VetCreatedScn	49	START	1590516209774	1590516209774
REQUEST	49		Home	1590516209774	1590516209777	OK	 
USER	VetNotCreatedScn	101	START	1590516209800	1590516209800
REQUEST	101		Home	1590516209800	1590516209803	OK	 
USER	VetCreatedScn	50	START	1590516209810	1590516209810
REQUEST	50		Home	1590516209810	1590516209813	OK	 
USER	VetNotCreatedScn	102	START	1590516209841	1590516209841
REQUEST	102		Home	1590516209842	1590516209846	OK	 
USER	VetCreatedScn	51	START	1590516209852	1590516209852
REQUEST	51		Home	1590516209852	1590516209855	OK	 
USER	VetNotCreatedScn	128	START	1590516209883	1590516209883
USER	VetCreatedScn	103	START	1590516209883	1590516209883
REQUEST	128		Home	1590516209884	1590516209886	OK	 
REQUEST	103		Home	1590516209884	1590516209886	OK	 
USER	VetCreatedScn	104	START	1590516209925	1590516209925
USER	VetNotCreatedScn	129	START	1590516209925	1590516209925
REQUEST	104		Home	1590516209926	1590516209930	OK	 
REQUEST	129		Home	1590516209926	1590516209930	OK	 
USER	VetCreatedScn	105	START	1590516209962	1590516209962
USER	VetNotCreatedScn	130	START	1590516209962	1590516209962
REQUEST	130		Home	1590516209963	1590516209964	OK	 
REQUEST	105		Home	1590516209963	1590516209964	OK	 
USER	VetNotCreatedScn	131	START	1590516210003	1590516210003
USER	VetCreatedScn	106	START	1590516210003	1590516210003
REQUEST	106		Home	1590516210004	1590516210006	OK	 
REQUEST	131		Home	1590516210004	1590516210006	OK	 
USER	VetNotCreatedScn	132	START	1590516210045	1590516210045
USER	VetCreatedScn	107	START	1590516210045	1590516210045
REQUEST	107		Home	1590516210046	1590516210048	OK	 
REQUEST	132		Home	1590516210046	1590516210048	OK	 
USER	VetCreatedScn	108	START	1590516210081	1590516210081
USER	VetNotCreatedScn	133	START	1590516210081	1590516210081
REQUEST	133		Home	1590516210081	1590516210083	OK	 
REQUEST	108		Home	1590516210081	1590516210083	OK	 
USER	VetCreatedScn	109	START	1590516210124	1590516210124
USER	VetNotCreatedScn	134	START	1590516210124	1590516210124
REQUEST	109		Home	1590516210124	1590516210126	OK	 
REQUEST	134		Home	1590516210124	1590516210126	OK	 
USER	VetCreatedScn	110	START	1590516210165	1590516210165
USER	VetNotCreatedScn	135	START	1590516210165	1590516210165
REQUEST	110		Home	1590516210166	1590516210167	OK	 
REQUEST	135		Home	1590516210166	1590516210167	OK	 
USER	VetCreatedScn	111	START	1590516210200	1590516210200
USER	VetNotCreatedScn	136	START	1590516210200	1590516210200
REQUEST	111		Home	1590516210201	1590516210203	OK	 
REQUEST	136		Home	1590516210201	1590516210203	OK	 
USER	VetCreatedScn	112	START	1590516210243	1590516210243
USER	VetNotCreatedScn	137	START	1590516210243	1590516210243
REQUEST	112		Home	1590516210244	1590516210246	OK	 
REQUEST	137		Home	1590516210244	1590516210246	OK	 
USER	VetNotCreatedScn	138	START	1590516210285	1590516210285
USER	VetCreatedScn	113	START	1590516210285	1590516210285
REQUEST	138		Home	1590516210285	1590516210288	OK	 
REQUEST	113		Home	1590516210285	1590516210288	OK	 
USER	VetCreatedScn	114	START	1590516210321	1590516210321
USER	VetNotCreatedScn	139	START	1590516210321	1590516210321
REQUEST	114		Home	1590516210321	1590516210323	OK	 
REQUEST	139		Home	1590516210321	1590516210323	OK	 
USER	VetNotCreatedScn	140	START	1590516210362	1590516210362
USER	VetCreatedScn	115	START	1590516210362	1590516210362
REQUEST	140		Home	1590516210363	1590516210365	OK	 
REQUEST	115		Home	1590516210363	1590516210365	OK	 
USER	VetNotCreatedScn	141	START	1590516210404	1590516210404
USER	VetCreatedScn	116	START	1590516210404	1590516210404
REQUEST	141		Home	1590516210404	1590516210408	OK	 
REQUEST	116		Home	1590516210405	1590516210408	OK	 
USER	VetNotCreatedScn	142	START	1590516210446	1590516210446
USER	VetCreatedScn	117	START	1590516210446	1590516210446
REQUEST	117		Home	1590516210447	1590516210450	OK	 
REQUEST	142		Home	1590516210447	1590516210450	OK	 
USER	VetCreatedScn	118	START	1590516210481	1590516210481
USER	VetNotCreatedScn	143	START	1590516210481	1590516210481
REQUEST	143		Home	1590516210482	1590516210484	OK	 
REQUEST	118		Home	1590516210482	1590516210484	OK	 
USER	VetNotCreatedScn	144	START	1590516210523	1590516210523
USER	VetCreatedScn	119	START	1590516210523	1590516210523
REQUEST	144		Home	1590516210524	1590516210527	OK	 
REQUEST	119		Home	1590516210524	1590516210527	OK	 
USER	VetNotCreatedScn	145	START	1590516210566	1590516210566
USER	VetCreatedScn	120	START	1590516210566	1590516210566
REQUEST	120		Home	1590516210566	1590516210568	OK	 
REQUEST	145		Home	1590516210566	1590516210568	OK	 
USER	VetCreatedScn	121	START	1590516210602	1590516210602
USER	VetNotCreatedScn	146	START	1590516210602	1590516210602
REQUEST	121		Home	1590516210602	1590516210604	OK	 
REQUEST	146		Home	1590516210602	1590516210604	OK	 
USER	VetCreatedScn	122	START	1590516210646	1590516210646
