ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CreateReservationTwoScenariosHU12Diagnosis	createreservationtwoscenarioshu12diagnosis	1590419531487	 	3.3.1
REQUEST	72		request_0	1590419535247	1590419536050	OK	 
REQUEST	64		request_0	1590419535607	1590419536051	OK	 
REQUEST	1		request_0	1590419533025	1590419536052	OK	 
REQUEST	45		request_0	1590419534141	1590419536052	OK	 
REQUEST	14		request_0	1590419533949	1590419536052	OK	 
REQUEST	21		request_0	1590419534467	1590419536053	OK	 
REQUEST	34		request_0	1590419533357	1590419536054	OK	 
REQUEST	33		request_0	1590419533297	1590419536055	OK	 
REQUEST	46		request_0	1590419534221	1590419536055	OK	 
REQUEST	77		request_0	1590419535607	1590419536056	OK	 
REQUEST	53		request_0	1590419534774	1590419536056	OK	 
REQUEST	10		request_0	1590419533654	1590419536056	OK	 
REQUEST	17		request_0	1590419534163	1590419536057	OK	 
REQUEST	62		request_0	1590419535463	1590419536058	OK	 
REQUEST	41		request_0	1590419533857	1590419536058	OK	 
REQUEST	42		request_0	1590419533927	1590419536059	OK	 
REQUEST	25		request_0	1590419534777	1590419536062	OK	 
REQUEST	58		request_0	1590419535157	1590419536063	OK	 
REQUEST	18		request_0	1590419534241	1590419536064	OK	 
USER	CreateReservationTwoScenariosHU12	83	START	1590419536064	1590419536064
USER	FailReservationTwoScenariosHU12	97	START	1590419536065	1590419536065
REQUEST	74		request_0	1590419535378	1590419536067	OK	 
REQUEST	49		request_0	1590419534463	1590419536068	OK	 
REQUEST	50		request_0	1590419534530	1590419536068	OK	 
REQUEST	68		request_0	1590419535964	1590419536069	OK	 
REQUEST	35		request_0	1590419533422	1590419536039	OK	 
REQUEST	78		request_0	1590419535691	1590419536070	OK	 
REQUEST	66		request_0	1590419535771	1590419536071	OK	 
REQUEST	69		request_0	1590419536016	1590419536073	OK	 
REQUEST	19		request_0	1590419534317	1590419536074	OK	 
REQUEST	7		request_0	1590419533422	1590419536075	OK	 
REQUEST	57		request_0	1590419535073	1590419536076	OK	 
REQUEST	81		request_0	1590419535955	1590419536077	OK	 
REQUEST	38		request_0	1590419533634	1590419536040	OK	 
REQUEST	23		request_0	1590419534627	1590419536082	OK	 
REQUEST	22		request_0	1590419534550	1590419536083	OK	 
REQUEST	82		request_0	1590419536036	1590419536084	OK	 
REQUEST	54		request_0	1590419534845	1590419536086	OK	 
REQUEST	55		request_0	1590419534907	1590419536086	OK	 
REQUEST	51		request_0	1590419534607	1590419536088	OK	 
REQUEST	70		request_0	1590419535073	1590419536088	OK	 
REQUEST	71		request_0	1590419535157	1590419536088	OK	 
REQUEST	67		request_0	1590419535840	1590419536092	OK	 
REQUEST	97		request_0	1590419536066	1590419536093	OK	 
REQUEST	83		request_0	1590419536065	1590419536100	OK	 
USER	FailReservationTwoScenariosHU12	98	START	1590419536128	1590419536128
USER	CreateReservationTwoScenariosHU12	84	START	1590419536128	1590419536128
REQUEST	84		request_0	1590419536129	1590419536142	OK	 
REQUEST	98		request_0	1590419536129	1590419536142	OK	 
USER	CreateReservationTwoScenariosHU12	85	START	1590419536206	1590419536206
USER	FailReservationTwoScenariosHU12	99	START	1590419536206	1590419536206
REQUEST	99		request_0	1590419536207	1590419536219	OK	 
REQUEST	85		request_0	1590419536207	1590419536219	OK	 
USER	FailReservationTwoScenariosHU12	100	START	1590419536272	1590419536272
USER	CreateReservationTwoScenariosHU12	86	START	1590419536276	1590419536276
REQUEST	100		request_0	1590419536274	1590419536286	OK	 
REQUEST	86		request_0	1590419536278	1590419536289	OK	 
USER	CreateReservationTwoScenariosHU12	87	START	1590419536346	1590419536346
USER	FailReservationTwoScenariosHU12	101	START	1590419536346	1590419536346
REQUEST	101		request_0	1590419536348	1590419536359	OK	 
REQUEST	87		request_0	1590419536348	1590419536359	OK	 
USER	CreateReservationTwoScenariosHU12	88	START	1590419536426	1590419536426
USER	FailReservationTwoScenariosHU12	102	START	1590419536426	1590419536426
REQUEST	102		request_0	1590419536427	1590419536439	OK	 
REQUEST	88		request_0	1590419536427	1590419536439	OK	 
USER	CreateReservationTwoScenariosHU12	89	START	1590419536491	1590419536491
USER	FailReservationTwoScenariosHU12	103	START	1590419536491	1590419536491
REQUEST	103		request_0	1590419536492	1590419536504	OK	 
REQUEST	89		request_0	1590419536492	1590419536504	OK	 
USER	FailReservationTwoScenariosHU12	104	START	1590419536563	1590419536563
USER	CreateReservationTwoScenariosHU12	90	START	1590419536563	1590419536563
REQUEST	104		request_0	1590419536565	1590419536576	OK	 
REQUEST	90		request_0	1590419536565	1590419536575	OK	 
USER	CreateReservationTwoScenariosHU12	91	START	1590419536641	1590419536641
USER	FailReservationTwoScenariosHU12	105	START	1590419536641	1590419536641
REQUEST	91		request_0	1590419536643	1590419536654	OK	 
REQUEST	105		request_0	1590419536643	1590419536654	OK	 
USER	FailReservationTwoScenariosHU12	106	START	1590419536706	1590419536706
USER	CreateReservationTwoScenariosHU12	92	START	1590419536706	1590419536706
REQUEST	92		request_0	1590419536708	1590419536720	OK	 
REQUEST	106		request_0	1590419536708	1590419536720	OK	 
