ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CreateReservationTwoScenariosAlpha	createreservationtwoscenariosalpha	1590352298462	 	3.3.1
USER	CreateBadReservation	86	START	1590352303393	1590352303393
REQUEST	86		request_0	1590352303394	1590352303407	OK	 
REQUEST	74		request_0	1590352303394	1590352303407	OK	 
USER	CreateGoodReservation	75	START	1590352303468	1590352303468
USER	CreateBadReservation	87	START	1590352303468	1590352303468
REQUEST	87		request_0	1590352303469	1590352303481	OK	 
REQUEST	75		request_0	1590352303469	1590352303481	OK	 
USER	CreateGoodReservation	76	START	1590352303555	1590352303555
USER	CreateBadReservation	88	START	1590352303555	1590352303555
REQUEST	88		request_0	1590352303557	1590352303571	OK	 
REQUEST	76		request_0	1590352303557	1590352303571	OK	 
USER	CreateBadReservation	89	START	1590352303635	1590352303635
USER	CreateGoodReservation	77	START	1590352303635	1590352303635
REQUEST	89		request_0	1590352303637	1590352303648	OK	 
REQUEST	77		request_0	1590352303637	1590352303648	OK	 
USER	CreateBadReservation	90	START	1590352303716	1590352303716
USER	CreateGoodReservation	78	START	1590352303716	1590352303716
REQUEST	78		request_0	1590352303718	1590352303736	OK	 
REQUEST	90		request_0	1590352303718	1590352303737	OK	 
USER	CreateBadReservation	91	START	1590352303805	1590352303805
USER	CreateGoodReservation	79	START	1590352303805	1590352303805
REQUEST	79		request_0	1590352303807	1590352303820	OK	 
REQUEST	91		request_0	1590352303807	1590352303820	OK	 
USER	CreateBadReservation	92	START	1590352303891	1590352303891
USER	CreateGoodReservation	80	START	1590352303891	1590352303891
REQUEST	92		request_0	1590352303892	1590352303904	OK	 
REQUEST	80		request_0	1590352303892	1590352303906	OK	 
USER	CreateGoodReservation	81	START	1590352303973	1590352303973
USER	CreateBadReservation	93	START	1590352303973	1590352303973
REQUEST	81		request_0	1590352303974	1590352303986	OK	 
REQUEST	93		request_0	1590352303974	1590352303986	OK	 
USER	CreateGoodReservation	82	START	1590352304055	1590352304055
USER	CreateBadReservation	94	START	1590352304055	1590352304055
REQUEST	82		request_0	1590352304057	1590352304069	OK	 
REQUEST	94		request_0	1590352304057	1590352304070	OK	 
USER	CreateBadReservation	106	START	1590352304136	1590352304136
USER	CreateGoodReservation	95	START	1590352304136	1590352304136
REQUEST	106		request_0	1590352304137	1590352304149	OK	 
REQUEST	95		request_0	1590352304137	1590352304148	OK	 
USER	CreateBadReservation	107	START	1590352304247	1590352304247
USER	CreateGoodReservation	96	START	1590352304247	1590352304247
REQUEST	107		request_0	1590352304248	1590352304260	OK	 
REQUEST	96		request_0	1590352304248	1590352304261	OK	 
USER	CreateBadReservation	108	START	1590352304319	1590352304319
USER	CreateGoodReservation	97	START	1590352304319	1590352304319
REQUEST	97		request_0	1590352304320	1590352304347	OK	 
REQUEST	108		request_0	1590352304320	1590352304348	OK	 
USER	CreateBadReservation	109	START	1590352304405	1590352304405
REQUEST	109		request_0	1590352304407	1590352304417	OK	 
USER	CreateGoodReservation	98	START	1590352304418	1590352304418
REQUEST	98		request_0	1590352304420	1590352304430	OK	 
USER	CreateBadReservation	110	START	1590352304518	1590352304518
USER	CreateGoodReservation	99	START	1590352304518	1590352304518
REQUEST	99		request_0	1590352304520	1590352304530	OK	 
REQUEST	110		request_0	1590352304520	1590352304531	OK	 
USER	CreateBadReservation	111	START	1590352304601	1590352304601
